Dato,Klikk,Visninger,Klikkfrekvens,Plassering
2025-11-11,18,865,2.08%,6.8
2025-11-12,22,889,2.47%,6.3
2025-11-13,16,751,2.13%,6.2
2025-11-14,20,749,2.67%,7.2
2025-11-15,14,629,2.23%,7
2025-11-16,14,636,2.2%,6.2
2025-11-17,13,881,1.48%,6.4
2025-11-18,16,962,1.66%,6.3
2025-11-19,13,967,1.34%,6.3
2025-11-20,16,1002,1.6%,6.3
2025-11-21,8,778,1.03%,6.9
2025-11-22,15,697,2.15%,6.1
2025-11-23,20,838,2.39%,7.1
2025-11-24,21,970,2.16%,6.9
2025-11-25,16,1055,1.52%,7.5
2025-11-26,24,1166,2.06%,7.3
2025-11-27,22,1230,1.79%,6.8
2025-11-28,17,1267,1.34%,6.8
2025-11-29,12,872,1.38%,7.2
2025-11-30,14,925,1.51%,7
2025-12-01,11,1179,0.93%,6.6
2025-12-02,10,1202,0.83%,7.7
2025-12-03,15,1431,1.05%,7.8
2025-12-04,18,1254,1.44%,8.8
2025-12-05,24,1133,2.12%,10.2
2025-12-06,16,904,1.77%,8.4
2025-12-07,21,930,2.26%,7.7
2025-12-08,23,1255,1.83%,7.5
2025-12-09,21,1420,1.48%,9.9
2025-12-10,22,1206,1.82%,7.9
2025-12-11,19,1171,1.62%,9.6
2025-12-12,14,1292,1.08%,13.7
2025-12-13,20,910,2.2%,9.1
2025-12-14,8,935,0.86%,7.4
2025-12-15,18,1634,1.1%,7.2
2025-12-16,19,1436,1.32%,9.4
2025-12-17,15,1219,1.23%,6.7
2025-12-18,16,1258,1.27%,8.9
2025-12-19,26,1159,2.24%,8.7
2025-12-20,14,911,1.54%,7.8
2025-12-21,10,914,1.09%,8
2025-12-22,10,1176,0.85%,7.2
2025-12-23,21,956,2.2%,9.1
2025-12-24,6,710,0.85%,8.6
2025-12-25,11,928,1.19%,8.1
2025-12-26,13,1046,1.24%,7.7
2025-12-27,29,1249,2.32%,7
2025-12-28,17,1043,1.63%,7.9
2025-12-29,19,1452,1.31%,6.9
2025-12-30,23,1260,1.83%,9.2
2025-12-31,13,847,1.53%,7.5
2026-01-01,11,914,1.2%,8.5
2026-01-02,22,1293,1.7%,7.1
2026-01-03,24,1161,2.07%,7.6
2026-01-04,33,1098,3.01%,7.1
2026-01-05,32,1693,1.89%,6.6
2026-01-06,25,1693,1.48%,6.8
2026-01-07,16,1622,0.99%,7.5
2026-01-08,18,1376,1.31%,7.4
2026-01-09,23,1200,1.92%,8.5
2026-01-10,13,1208,1.08%,12.4
2026-01-11,27,1025,2.63%,7.6
2026-01-12,30,1290,2.33%,7.7
2026-01-13,24,1269,1.89%,7.5
2026-01-14,26,1302,2%,8.1
2026-01-15,21,1309,1.6%,8.2
2026-01-16,19,1571,1.21%,9.5
2026-01-17,20,1552,1.29%,9.4
2026-01-18,28,1477,1.9%,8.6
2026-01-19,36,2045,1.76%,7.6
2026-01-20,24,1989,1.21%,8.6
2026-01-21,27,2002,1.35%,9.1
2026-01-22,48,2179,2.2%,8
2026-01-23,20,1788,1.12%,7.4
2026-01-24,21,1526,1.38%,8.6
2026-01-25,25,1436,1.74%,8.2
2026-01-26,37,1983,1.87%,7.7
2026-01-27,37,2196,1.68%,7.9
2026-01-28,24,2110,1.14%,10.4
2026-01-29,34,1882,1.81%,8
2026-01-30,31,1605,1.93%,8.6
2026-01-31,24,1440,1.67%,8.8
2026-02-01,21,1523,1.38%,8.7
2026-02-02,25,2075,1.2%,7.1
2026-02-03,37,1925,1.92%,6.8
2026-02-04,24,1883,1.27%,7.2
2026-02-05,31,1854,1.67%,8.3
2026-02-06,26,1607,1.62%,7.9
2026-02-07,24,1345,1.78%,8
2026-02-08,20,1442,1.39%,7.5
2026-02-09,40,2042,1.96%,7.1
2026-02-10,36,2018,1.78%,7.5